lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
mean,VERB,metaphor,gain,lit_mean,met_mean,"{'lit_mean': 195, 'met_mean': 0}","{'lit_mean': 41, 'met_mean': 41}"
turn,VERB,metaphor,gain,lit_turn,met_turn,"{'lit_turn': 25, 'met_turn': 0}","{'lit_turn': 35, 'met_turn': 35}"
long,ADJ,metaphor,gain,lit_long,met_long,"{'lit_long': 25, 'met_long': 0}","{'lit_long': 28, 'met_long': 28}"
work,VERB,metaphor,gain,lit_work,met_work,"{'lit_work': 49, 'met_work': 0}","{'lit_work': 39, 'met_work': 39}"
help,VERB,metaphor,gain,lit_help,met_help,"{'lit_help': 39, 'met_help': 0}","{'lit_help': 21, 'met_help': 21}"
find,VERB,metaphor,gain,lit_find,met_find,"{'lit_find': 25, 'met_find': 0}","{'lit_find': 48, 'met_find': 48}"
come,VERB,metaphor,gain,lit_come,met_come,"{'lit_come': 74, 'met_come': 0}","{'lit_come': 176, 'met_come': 176}"
old,ADJ,metaphor,gain,lit_old,met_old,"{'lit_old': 66, 'met_old': 0}","{'lit_old': 24, 'met_old': 24}"
large,ADJ,metaphor,gain,lit_large,met_large,"{'lit_large': 25, 'met_large': 0}","{'lit_large': 30, 'met_large': 30}"
new,ADJ,metaphor,gain,lit_new,met_new,"{'lit_new': 111, 'met_new': 0}","{'lit_new': 20, 'met_new': 20}"
side,NOUN,metaphor,constant,lit_side,met_side,"{'lit_side': 22, 'met_side': 14}","{'lit_side': 22, 'met_side': 14}"
tell,VERB,metaphor,constant,lit_tell,met_tell,"{'lit_tell': 98, 'met_tell': 10}","{'lit_tell': 98, 'met_tell': 10}"
put,VERB,metaphor,constant,lit_put,met_put,"{'lit_put': 40, 'met_put': 41}","{'lit_put': 40, 'met_put': 41}"
place,NOUN,metaphor,constant,lit_place,met_place,"{'lit_place': 38, 'met_place': 21}","{'lit_place': 38, 'met_place': 21}"
world,NOUN,metaphor,constant,lit_world,met_world,"{'lit_world': 24, 'met_world': 15}","{'lit_world': 24, 'met_world': 15}"
small,ADJ,metaphor,constant,lit_small,met_small,"{'lit_small': 44, 'met_small': 10}","{'lit_small': 44, 'met_small': 10}"
leave,VERB,metaphor,constant,lit_leave,met_leave,"{'lit_leave': 37, 'met_leave': 23}","{'lit_leave': 37, 'met_leave': 23}"
hand,NOUN,metaphor,constant,lit_hand,met_hand,"{'lit_hand': 32, 'met_hand': 17}","{'lit_hand': 32, 'met_hand': 17}"
little,ADJ,metaphor,constant,lit_little,met_little,"{'lit_little': 33, 'met_little': 12}","{'lit_little': 33, 'met_little': 12}"
look,VERB,metaphor,constant,lit_look,met_look,"{'lit_look': 99, 'met_look': 31}","{'lit_look': 99, 'met_look': 31}"
