lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
leave,VERB,metaphor,gain,lit_leave,met_leave,"{'lit_leave': 29, 'met_leave': 0}","{'lit_leave': 47, 'met_leave': 47}"
come,VERB,metaphor,gain,lit_come,met_come,"{'lit_come': 71, 'met_come': 0}","{'lit_come': 179, 'met_come': 179}"
help,VERB,metaphor,gain,lit_help,met_help,"{'lit_help': 39, 'met_help': 0}","{'lit_help': 21, 'met_help': 21}"
tell,VERB,metaphor,gain,lit_tell,met_tell,"{'lit_tell': 177, 'met_tell': 0}","{'lit_tell': 20, 'met_tell': 20}"
call,VERB,metaphor,gain,lit_call,met_call,"{'lit_call': 29, 'met_call': 0}","{'lit_call': 36, 'met_call': 36}"
place,NOUN,metaphor,gain,lit_place,met_place,"{'lit_place': 35, 'met_place': 0}","{'lit_place': 44, 'met_place': 44}"
work,VERB,metaphor,gain,lit_work,met_work,"{'lit_work': 50, 'met_work': 0}","{'lit_work': 39, 'met_work': 39}"
large,ADJ,metaphor,gain,lit_large,met_large,"{'lit_large': 25, 'met_large': 0}","{'lit_large': 30, 'met_large': 30}"
hand,NOUN,metaphor,gain,lit_hand,met_hand,"{'lit_hand': 35, 'met_hand': 0}","{'lit_hand': 35, 'met_hand': 35}"
give,VERB,metaphor,gain,lit_give,met_give,"{'lit_give': 25, 'met_give': 0}","{'lit_give': 77, 'met_give': 77}"
put,VERB,metaphor,constant,lit_put,met_put,"{'lit_put': 39, 'met_put': 41}","{'lit_put': 39, 'met_put': 41}"
way,NOUN,metaphor,constant,lit_way,met_way,"{'lit_way': 24, 'met_way': 76}","{'lit_way': 24, 'met_way': 76}"
side,NOUN,metaphor,constant,lit_side,met_side,"{'lit_side': 23, 'met_side': 13}","{'lit_side': 23, 'met_side': 13}"
new,ADJ,metaphor,constant,lit_new,met_new,"{'lit_new': 67, 'met_new': 10}","{'lit_new': 67, 'met_new': 10}"
mean,VERB,metaphor,constant,lit_mean,met_mean,"{'lit_mean': 117, 'met_mean': 20}","{'lit_mean': 117, 'met_mean': 20}"
system,NOUN,metaphor,constant,lit_system,met_system,"{'lit_system': 53, 'met_system': 20}","{'lit_system': 53, 'met_system': 20}"
thing,NOUN,metaphor,constant,lit_thing,met_thing,"{'lit_thing': 25, 'met_thing': 65}","{'lit_thing': 25, 'met_thing': 65}"
little,ADJ,metaphor,constant,lit_little,met_little,"{'lit_little': 34, 'met_little': 12}","{'lit_little': 34, 'met_little': 12}"
old,ADJ,metaphor,constant,lit_old,met_old,"{'lit_old': 44, 'met_old': 12}","{'lit_old': 44, 'met_old': 12}"
long,ADJ,metaphor,constant,lit_long,met_long,"{'lit_long': 24, 'met_long': 26}","{'lit_long': 24, 'met_long': 26}"
