lemma,pos,change_type,change_result,base_sense,other_sense,counts_before,counts_after
world,NOUN,metaphor,gain,lit_world,met_world,"{'lit_world': 25, 'met_world': 0}","{'lit_world': 26, 'met_world': 26}"
call,VERB,metaphor,gain,lit_call,met_call,"{'lit_call': 29, 'met_call': 0}","{'lit_call': 36, 'met_call': 36}"
work,VERB,metaphor,gain,lit_work,met_work,"{'lit_work': 50, 'met_work': 0}","{'lit_work': 39, 'met_work': 39}"
small,ADJ,metaphor,gain,lit_small,met_small,"{'lit_small': 70, 'met_small': 0}","{'lit_small': 20, 'met_small': 20}"
put,VERB,metaphor,gain,lit_put,met_put,"{'lit_put': 25, 'met_put': 0}","{'lit_put': 55, 'met_put': 55}"
old,ADJ,metaphor,gain,lit_old,met_old,"{'lit_old': 63, 'met_old': 0}","{'lit_old': 24, 'met_old': 24}"
place,NOUN,metaphor,gain,lit_place,met_place,"{'lit_place': 35, 'met_place': 0}","{'lit_place': 43, 'met_place': 43}"
come,VERB,metaphor,gain,lit_come,met_come,"{'lit_come': 70, 'met_come': 0}","{'lit_come': 179, 'met_come': 179}"
look,VERB,metaphor,gain,lit_look,met_look,"{'lit_look': 136, 'met_look': 0}","{'lit_look': 64, 'met_look': 64}"
leave,VERB,metaphor,gain,lit_leave,met_leave,"{'lit_leave': 28, 'met_leave': 0}","{'lit_leave': 47, 'met_leave': 47}"
little,ADJ,metaphor,constant,lit_little,met_little,"{'lit_little': 34, 'met_little': 12}","{'lit_little': 34, 'met_little': 12}"
long,ADJ,metaphor,constant,lit_long,met_long,"{'lit_long': 25, 'met_long': 26}","{'lit_long': 25, 'met_long': 26}"
turn,VERB,metaphor,constant,lit_turn,met_turn,"{'lit_turn': 30, 'met_turn': 24}","{'lit_turn': 30, 'met_turn': 24}"
thing,NOUN,metaphor,constant,lit_thing,met_thing,"{'lit_thing': 25, 'met_thing': 68}","{'lit_thing': 25, 'met_thing': 68}"
large,ADJ,metaphor,constant,lit_large,met_large,"{'lit_large': 27, 'met_large': 19}","{'lit_large': 27, 'met_large': 19}"
help,VERB,metaphor,constant,lit_help,met_help,"{'lit_help': 30, 'met_help': 10}","{'lit_help': 30, 'met_help': 10}"
system,NOUN,metaphor,constant,lit_system,met_system,"{'lit_system': 54, 'met_system': 19}","{'lit_system': 54, 'met_system': 19}"
find,VERB,metaphor,constant,lit_find,met_find,"{'lit_find': 36, 'met_find': 45}","{'lit_find': 36, 'met_find': 45}"
side,NOUN,metaphor,constant,lit_side,met_side,"{'lit_side': 22, 'met_side': 14}","{'lit_side': 22, 'met_side': 14}"
mean,VERB,metaphor,constant,lit_mean,met_mean,"{'lit_mean': 118, 'met_mean': 20}","{'lit_mean': 118, 'met_mean': 20}"
