object	0.5007871606786242
cut	0.44797659859181793
state	0.17924745545816956
idea	0.2907569012482252
create	0.38995215183348686
decide	0.5431102116654012
method	0.3334000525365951
woman	0.2797994640778386
person	0.38912161904071385
select	0.3761588981029774
insist	0.2746707256491029
event	0.3680233115194721
concern	0.3358243731753092
expect	0.3695716610753649
announce	0.44080804997081136
kill	0.3150162251253209
build	0.3353506183357823
state	0.17924745545816956
object	0.5007871606786242
expect	0.3695716610753649
