Rochester	0.0034238473740826336
Redland	0.009613354599050883
Kyoto	0.01661351271275502
Oregon	0.08102951254524471
Leicester	0.027919186744579272
Arkansas	0.11061628602881024
Norwich	0.024840262216060616
Lugo	0.045590238572405406
Pisa	0.004218891145974735
Darmstadt	0.01714372947301379
Battersea	0.019461068342756405
Derry	0.022889709178665174
Chartres	0.019471708751865324
Iowa	0.0286418421752882
Durham	0.008373368692463634
Davis	0.005652409439787287
Berkeley	0.00011304544462975574
Bremen	0.0012957622446109207
Brighton	2.8633665490884752e-05
Bandung	0.01691130082261194
