call	0.0007741017710412024
small	0.0018793668181470435
long	0.29289321881345254
place	0.002901285022831712
come	0.004172878074806596
thing	0.003685330075969384
put	0.008380130053034951
large	0.014229081740106841
find	0.250492397885964
hand	0.0031464123081816897
mean	0.00934602157528519
leave	0.014481858924059954
work	0.012743286176099433
help	0.020063337725868324
system	0.010154593962299674
tell	0.01809946935211526
give	0.02435654135886156
way	0.0006058823320613804
look	0.0122223845245647
little	0
